info: cargo-llvm-cov currently setting cfg(coverage); you can opt-out it by passing --no-cfg-coverage
   Compiling auto-rust v0.2.0 (C:\My Script\auto-rust)
    Finished `test` profile [unoptimized] target(s) in 53.85s
     Running unittests src\lib.rs (target\llvm-cov-target\debug\deps\auto-b54427a9c358f6d5.exe)

running 3120 tests
test adaptive::learning_engine::tests::test_learning_engine_disabled ... ok
test adaptive::predictive_scorer::integration_tests::test_predictive_scoring_integration ... ok
test adaptive::predictive_scorer::tests::test_feature_extractor_default ... ok
test adaptive::predictive_scorer::property_tests::test_empty_string_regression ... ok
test adaptive::predictive_scorer::tests::test_prediction_basic ... ok
test adaptive::predictive_scorer::tests::test_context_features_default ... ok
test adaptive::predictive_scorer::tests::test_context_features_extraction ... ok
test adaptive::learning_engine::tests::test_learning_engine_new ... ok
test adaptive::predictive_scorer::tests::test_engagement_model_new ... ok
test adaptive::predictive_scorer::tests::test_feature_extraction ... ok
test adaptive::predictive_scorer::tests::test_feature_extractor_new ... ok
test adaptive::predictive_scorer::tests::test_model_accuracy_default ... ok
test adaptive::predictive_scorer::tests::test_model_weights_default ... ok
test adaptive::predictive_scorer::tests::test_action_recommender_new ... ok
test adaptive::predictive_scorer::tests::test_prediction_confidence_bounds ... ok
test adaptive::predictive_scorer::tests::test_prediction_expected_engagement ... ok
test adaptive::predictive_scorer::tests::test_prediction_key_factors ... ok
test adaptive::predictive_scorer::tests::test_prediction_optimal_time ... ok
test adaptive::learning_engine::tests::test_ttl_zero_never_expires ... ok
test adaptive::predictive_scorer::tests::test_temporal_features_default ... ok
test adaptive::predictive_scorer::tests::test_temporal_features_extraction ... ok
test adaptive::predictive_scorer::tests::test_feature_combination ... ok
test adaptive::predictive_scorer::tests::test_text_features_default ... ok
test adaptive::predictive_scorer::tests::test_text_features_length_calculation ... ok
test adaptive::predictive_scorer::tests::test_timing_recommendations_default ... ok
test adaptive::predictive_scorer::tests::test_scorer_new ... ok
test adaptive::predictive_scorer::tests::test_user_features_default ... ok
test adaptive::predictive_scorer::tests::test_user_features_extraction ... ok
test adaptive::self_healing::health::tests::health_check_result_construction ... ok
test adaptive::self_healing::health::tests::health_check_result_is_debuggable ... ok
test adaptive::self_healing::health::tests::health_check_result_with_error ... ok
test adaptive::self_healing::health::tests::health_check_status_variants_exist ... ok
test adaptive::self_healing::health::tests::health_check_type_equality ... ok
test adaptive::learning_engine::tests::test_clear_data ... ok
test adaptive::self_healing::health::tests::health_check_type_variants_exist ... ok
test adaptive::self_healing::health::tests::health_monitor_checks_preserved_across_access ... ok
test adaptive::self_healing::health::tests::health_monitor_checks_can_be_pushed ... ok
test adaptive::self_healing::health::tests::health_monitor_consecutive_failures_tracking ... ok
test adaptive::self_healing::health::tests::health_monitor_default_same_as_new ... ok
test adaptive::self_healing::health::tests::health_monitor_last_check_is_recent ... ok
test adaptive::self_healing::health::tests::health_monitor_full_construction ... ok
test adaptive::self_healing::health::tests::health_monitor_new_starts_healthy ... ok
test adaptive::self_healing::health::tests::health_monitor_status_can_be_changed ... ok
test adaptive::self_healing::health::tests::system_health_variants_exist ... ok
test adaptive::self_healing::history::tests::all_enums_debuggable ... ok
test adaptive::self_healing::history::tests::failure_history_default_same_as_new ... ok
test adaptive::self_healing::history::tests::failure_history_field_access ... ok
test adaptive::self_healing::history::tests::failure_history_is_cloneable ... ok
test adaptive::learning_engine::tests::test_ttl_pruning ... ok
test adaptive::self_healing::history::tests::failure_history_mtbf_can_be_set ... ok
test adaptive::self_healing::history::tests::failure_history_mttr_can_be_set ... ok
test adaptive::self_healing::history::tests::failure_history_multiple_failures_retain_order ... ok
test adaptive::self_healing::history::tests::failure_history_new_starts_empty ... ok
test adaptive::self_healing::history::tests::failure_history_patterns_can_be_added ... ok
test adaptive::self_healing::history::tests::failure_history_pop_back_works ... ok
test adaptive::self_healing::history::tests::failure_history_push_back_works ... ok
test adaptive::self_healing::history::tests::failure_history_pop_front_works ... ok
test adaptive::self_healing::history::tests::failure_history_push_front_works ... ok
test adaptive::self_healing::history::tests::failure_pattern_construction ... ok
test adaptive::self_healing::history::tests::failure_pattern_debuggable ... ok
test adaptive::self_healing::history::tests::failure_pattern_empty_signature ... ok
test adaptive::self_healing::history::tests::failure_pattern_is_cloneable ... ok
test adaptive::self_healing::history::tests::failure_record_construction ... ok
test adaptive::self_healing::history::tests::failure_record_debuggable ... ok
test adaptive::self_healing::history::tests::failure_record_is_cloneable ... ok
test adaptive::self_healing::history::tests::failure_record_timestamp_is_recent ... ok
test adaptive::self_healing::history::tests::failure_record_each_type ... ok
test adaptive::self_healing::history::tests::failure_type_equality_matches ... ok
test adaptive::self_healing::history::tests::failure_type_variants_exist ... ok
test adaptive::self_healing::history::tests::impact_level_equality ... ok
test adaptive::self_healing::history::tests::impact_level_variants_exist ... ok
test adaptive::self_healing::state::tests::active_recovery_construction ... ok
test adaptive::self_healing::state::tests::active_recovery_is_cloneable_and_debuggable ... ok
test adaptive::self_healing::state::tests::active_recovery_no_estimated_completion ... ok
test adaptive::self_healing::state::tests::active_recovery_struct_debuggable ... ok
test adaptive::self_healing::state::tests::all_state_enums_debuggable ... ok
test adaptive::self_healing::state::tests::recovery_mode_variants_exist ... ok
test adaptive::self_healing::state::tests::recovery_progress_default_values ... ok
test adaptive::self_healing::state::tests::recovery_progress_each_field_accessible ... ok
test adaptive::self_healing::state::tests::recovery_progress_full_completion ... ok
test adaptive::self_healing::state::tests::recovery_progress_partial_progress ... ok
test adaptive::self_healing::state::tests::recovery_state_can_store_active_recoveries ... ok
test adaptive::self_healing::state::tests::recovery_state_default_progress_fields ... ok
test adaptive::self_healing::state::tests::recovery_state_default_same_as_new ... ok
test adaptive::learning_engine::tests::test_learning_convergence ... ok
test adaptive::self_healing::state::tests::recovery_state_is_cloneable ... ok
test adaptive::self_healing::state::tests::recovery_state_mode_can_mutate ... ok
test adaptive::self_healing::state::tests::recovery_state_new_has_normal_mode ... ok
test adaptive::self_healing::state::tests::recovery_state_struct_debuggable ... ok
test adaptive::self_healing::state::tests::recovery_status_variants_exist ... ok
test adaptive::self_healing::state::tests::recovery_type_is_cloneable ... ok
test adaptive::self_healing::state::tests::recovery_type_variants_exist ... ok
